Image,x0,y0,x1,y1
001369b7-d646-416e-a4d9-e1d85e3a5c7f.jpg,23,24,2253,485
001eefc8-7fc6-46dc-a504-cc488ae52b6e.jpg,35,30,197,178
001f5fda-4f43-4824-a927-053f1e3c7352.jpg,120,69,2404,1064
0021b9e7-0017-4582-be65-56475ad645a9.jpg,0,0,1043,297
00241180-a50a-466b-82dd-555876f99d1d.jpg,0,0,1103,223
002c5011-deb7-4138-b1f5-a1a15050c433.jpg,0,0,1062,392
003a646c-819b-4c71-a85c-05507fd831df.jpg,0,0,3000,2000
0043c998-a5f4-4d46-b6de-9302b838ee2e.jpg,0,0,2662,1005
004a8c21-3007-438e-92f7-cb693519d933.jpg,0,0,330,217
0060a94d-bf97-4b5a-926d-79824836a4e4.jpg,8,8,1376,400
0072137e-f528-4667-8db5-b51a86e47f6b.jpg,0,0,1411,441
007689fd-25bb-4a1b-a2a0-c8a12398c619.jpg,4,122,2952,1227
007d2d8c-ce54-4b6a-82ec-11c46dd054e1.jpg,0,0,2250,1500
008011d4-10f8-423c-bee8-ab0175c3ae50.jpg,0,0,2702,1000
008715c6-92b5-4956-9a96-dcbb5aa14ef2.jpg,0,0,792,290
008a02ec-46f4-40de-bc0c-3b0827a96b8c.jpg,130,74,1290,423
0090d8fa-bc36-4758-bc09-998bdf4e0352.jpg,118,139,1152,670
0097ff7c-1096-4a18-8644-65434fd43869.jpg,34,4,2897,936
00a578cf-d96e-4e91-862f-eff65de34f76.jpg,0,349,2180,1156
00aabf3e-95aa-4481-a485-14a9628770c4.jpg,11,2,660,282
00b51a89-cb48-4f1a-93f4-123b51b98055.jpg,0,0,1358,401
00cb3726-2a3b-41f1-885a-d592d6ea9191.jpg,0,12,979,254
00e7880a-9b75-435a-83ab-91351d548428.jpg,0,0,2091,737
00ea9000-dc5c-47c8-9772-af3363d54f0c.jpg,0,0,1007,330
00f9cc9a-5667-430b-9ace-b617a2bd5b01.jpg,0,0,504,236
010ab78c-a042-45b9-bad5-3a7f5ee9f1f6.jpg,0,0,1518,674
01166767-31aa-47d4-9ac1-c253bed845c9.jpg,0,0,1489,250
01264a7f-ccf9-4ff6-a146-a3590209e74d.jpg,9,9,1835,588
01465192-1531-4072-8638-367a67207c58.jpg,17,8,905,302
014ff288-48e1-42d8-bbc5-b90121c431ff.jpg,90,34,2957,1133
0154059c-b6ce-4981-882b-f364b3ed1629.jpg,124,128,2248,1347
01641a5d-547b-4349-857f-912d1842cd1a.jpg,674,165,1811,539
017b5850-727e-4224-9f9c-c41c80d071a5.jpg,82,147,1050,376
018923cc-44c6-474d-9bcc-df3a390444a5.jpg,1013,1121,1208,1215
019bda45-83be-4c56-96e6-74f5709ee2e8.jpg,5,4,913,168
01b946b2-0561-466c-9ca9-e6dffe1e3279.jpg,0,0,1445,441
01bfa6d2-9d26-45e0-ae97-935896c26cd7.jpg,4,4,2603,496
01c67059-3058-4dad-8feb-04ff4e9230de.jpg,23,18,1849,732
01cf8696-2452-4b66-b415-2f6a9279d39a.jpg,9,14,1059,387
01e80c77-df2b-48c1-9c6a-05e10ee48d54.jpg,0,0,1734,659
01f3a93d-94ad-46c7-8bfb-55532657b2d8.jpg,22,7,2983,1461
0208446b-72fb-4ddc-ae28-56c0ebbf88a4.jpg,0,0,1521,486
02185732-8e2b-4e1d-8480-399119369f15.jpg,0,0,2577,1603
021e55e1-46c4-4982-a415-190eeb60693e.jpg,23,8,2479,524
021eb18f-7456-409a-a670-bbf720d52d54.jpg,0,0,999,245
02279f51-12b5-429c-b3c1-9e8bf02f436f.jpg,0,0,1219,814
022e0bfa-fefa-44e6-b330-ed5cdd583337.jpg,35,22,1839,472
022fd3d2-248b-4aa3-93ec-5952f3e6337c.jpg,41,1,2967,1304
0243cb8d-064a-403d-9235-b70cb60733c5.jpg,0,0,775,500
025ab72a-5cb6-44a5-95f6-e6b35b34b875.jpg,110,80,1018,527
02778914-fa2e-477b-b7cf-75be922bffc6.jpg,0,0,3000,711
02a07d9b-c5e3-43fc-8f2c-adfcfbf8fdcf.jpg,3,9,2355,854
02a492ce-670b-4234-9fcf-4e84bb5bc467.jpg,0,0,2074,672
02ad39fb-6819-4795-8116-c5c9ed7b981f.jpg,89,164,1996,848
02b238bc-e419-4e8e-8e85-70cd4aadd038.jpg,0,0,1581,312
02c7f944-e2a1-4089-8c4f-bf3d777495ad.jpg,24,30,1062,330
02d0e9de-6396-4e7a-9bbe-9e14024fa8eb.jpg,75,120,1408,617
02de0e8c-ab31-4221-bee5-20c74a53da85.jpg,9,11,1835,609
02f6c117-5677-4e0a-8111-882830c9e174.jpg,9,2,1469,286
03224ad8-1aec-487d-bef3-bc55bf4f3170.jpg,173,151,897,433
033e40a6-22c3-403e-824e-f81dd833397d.jpg,19,4,1485,571
03418efe-a89a-4da1-bd71-bbb86c158a7f.jpg,117,112,1251,700
0346e677-7c74-4cf0-b0cf-5800b2b3a4b8.jpg,0,2,841,216
03491dba-449f-4b46-8f0f-79ae94aba611.jpg,0,0,1054,267
0351ad33-d7be-4558-a9d2-41edc5080811.jpg,0,0,2838,620
03536785-c98c-4589-b685-1b367b1b7ccb.jpg,0,0,2262,492
036afb39-c5ff-47fe-9c65-4552c4e162cf.jpg,0,0,1673,390
03742403-c3c7-4f9e-864b-8b4f77ffc2f1.jpg,27,12,1505,567
03802d01-eb10-4238-826d-17515dbcbce4.jpg,7,7,653,266
0385c4ab-bd74-4524-8d01-50be28771d69.jpg,2,12,1035,403
03a11e21-db5b-46e1-af1f-3f3a8940129a.jpg,15,159,2620,966
03a18a43-67e4-4dfe-983a-5fbd0c01ed82.jpg,0,0,1072,414
03b7e7d0-e591-423a-8304-aa75cc404332.jpg,0,0,1543,448
03b95d7c-5317-43a3-8073-0baae140210c.jpg,0,0,1933,422
03d80894-e8ed-4c5d-b1e5-d00c45e2f6a7.jpg,0,0,2657,1776
03d8a85b-c5d5-48a1-aa27-69cfabdc3da4.jpg,37,8,2756,972
03df8c18-ae25-4f3c-83ad-f00bbf08fd8b.jpg,0,0,1217,348
03e81654-0bf0-41a2-bbdb-e9df09599494.jpg,0,0,1253,651
03ef506f-91e0-44d8-bbc3-67d503c513d8.jpg,0,0,2250,1500
040b968a-3f73-44dc-a166-0604e3eb049c.jpg,0,0,1796,339
0423e624-f240-461c-bfd7-aa2d8a564621.jpg,0,0,2294,1534
042cf240-32cb-42ab-b4e7-9032e7257fc5.jpg,54,192,1882,555
044144d0-4b3e-42bc-9141-25c174e6481b.jpg,8,3,1477,269
045d1557-dbc4-4ac9-9bf7-d0814b449171.jpg,4,4,757,225
046ce9ee-ded6-4520-94e2-0c14dd3a4f03.jpg,12,12,1424,456
046f6197-fb8f-432f-9ce2-c77589ad5945.jpg,1,4,487,101
04783ec3-dd02-42d2-9655-7ec878f934ac.jpg,0,0,1041,433
048e4d43-9fe4-47bc-8793-732d896fd7fe.jpg,0,0,1382,403
048ff313-3244-4f6a-80dd-23dfd79ba6ff.jpg,0,0,2660,779
04934772-ebb8-4ba9-ae71-a1d6cd3bd3b6.jpg,0,0,2102,1321
04a00577-6918-41eb-a2b7-bff899b0b347.jpg,9,33,853,295
04a6ebdd-8641-44a0-97b0-2f7468394d33.jpg,0,0,732,384
04add0cd-9863-4f4f-b6e0-950ebc686dd0.jpg,25,26,1673,625
04b904ac-3385-4b61-873b-f20e517df58d.jpg,0,0,1667,490
04c1ab31-48cf-46e3-9425-bcc737f9068d.jpg,0,0,1800,1200
04c7256e-f2a0-47ca-bf3a-79f1ec070a72.jpg,0,0,608,185
04cc7167-471b-4f02-9e4b-8562a1955395.jpg,9,12,1650,556
04cdc509-0b99-43fb-8f54-b95b133f24dd.jpg,0,0,3000,2001
04d1ca47-e51c-4f66-bab3-a878d080fe74.jpg,0,0,1254,422
04e9263f-c843-4065-9059-988a5a537a31.jpg,0,0,838,559
04eab8e4-d6c0-46a8-a8fc-072dad2ea029.jpg,0,0,1490,419
04eb6eaa-daa1-475c-b2ff-3d90b3dd09a0.jpg,5,11,2977,521
04f44e54-16ce-4bd3-99cd-79d5674b6a50.jpg,189,137,1838,526
04f898da-be42-4484-84d2-15c90468301f.jpg,0,10,1091,404
0525f7ae-aaa9-43e2-b513-5556cc7b65c1.jpg,298,6,2999,1577
0545167a-4b64-44c4-b362-6c08170b1ed2.jpg,0,0,1504,384
05453c42-c097-406c-a708-e2dca13025ff.jpg,2,16,1230,640
0554c1d4-5cb6-4f3c-97f1-42c479074ca7.jpg,0,0,3000,2003
055637fa-75ae-492e-bb5d-4f38d9862aed.jpg,0,0,1793,328
0557f478-005c-4992-86a9-987399f57c20.jpg,168,105,1922,545
05586c00-b92a-4812-b3c3-d4cffa4fb721.jpg,0,0,2250,1500
055b5cf1-6cc3-4b4b-8505-39ba891c6ac7.jpg,173,119,1615,1026
0560a988-7d91-4cee-900a-152a558c6125.jpg,0,0,1159,447
056614dc-69f7-43d1-af15-85ae6e7f61f9.jpg,21,3,2759,746
0568e651-faaf-468c-a09e-0dd102bcf2cb.jpg,9,5,943,303
057e52b8-b33e-4e27-a80d-e199ab10b711.jpg,0,0,2635,868
058181b8-fe31-44a2-b6a8-283b181a300f.jpg,87,253,1429,652
05854168-2132-4fcd-ba9a-5b9305719456.jpg,11,4,773,202
0586adec-9969-4c0b-b041-9d8d6405c071.jpg,0,0,1305,317
05a6b164-a2d3-4e36-bb0d-7788847fb375.jpg,0,0,1876,349
05ab4e23-a5aa-4936-8365-76d44e5e2d1d.jpg,6,6,2352,658
05ae77b4-2f27-42e5-8353-e5856f254d1a.jpg,10,8,1468,582
05b4aeb3-5416-4962-9aa0-25b770528853.jpg,27,5,1712,609
05bf9278-0695-4fae-b057-002bc71e9b1e.jpg,6,9,569,194
05cc2890-915d-4312-bdd3-5e7cec163d89.jpg,0,0,1121,366
05de6944-af45-42e4-bdd7-4e6ed3d76b64.jpg,0,0,1309,375
05e0f99d-1560-4d10-b4eb-18db358fbeca.jpg,0,0,1389,413
05e919f4-e427-4d69-a57c-cfe958090674.jpg,0,0,1354,446
05fa5c6e-4929-4064-b75e-7471f227c18b.jpg,0,0,3000,2000
06034dae-e9e0-4198-97dc-bf12ae815481.jpg,0,0,1654,423
061bc187-8112-4f41-a514-5b5a7bbba677.jpg,49,11,1266,467
0643845e-2868-41cc-b0f9-728e3cafc444.jpg,9,5,2987,594
065286f2-5e32-441d-9a01-86037ada7b74.jpg,33,17,2978,898
0657a7ae-1b51-4c01-bc0a-67f7bafb4c58.jpg,50,90,1175,608
065b8f70-8d18-42b2-bfa3-45f726d96b1a.jpg,33,17,2954,907
0677f424-6a3d-4d12-b65a-b44428519ebf.jpg,5,3,740,435
06786b4d-489e-4f81-955f-25da3fea23c9.jpg,0,0,1906,712
067be5a5-ad33-4b57-b55d-f6a8ecbe0f76.jpg,0,0,1869,494
068265af-1636-40f2-9263-69e0e14b49ee.jpg,6,2,1178,400
06888bba-4ef0-4cbd-9c45-054d5cb50784.jpg,11,7,596,182
068af9f9-8028-48a5-8228-c49ca28348c4.jpg,0,0,1290,567
068d3824-616f-4141-a1c8-9d3b1c90223a.jpg,0,0,2358,366
069712ca-170d-42c9-b43a-7a1b4c9f1ed3.jpg,113,170,1484,702
069cabf6-e6af-4859-9de8-eb4a8a5a5a90.jpg,254,121,1045,427
06dff959-cbde-4ce8-978e-3bf28dad57fc.jpg,0,0,2089,521
07065266-3a8b-4b21-b42b-2616741e4104.jpg,11,3,1411,548
070b1f68-016b-4ae2-a728-b03591b73220.jpg,14,12,1801,434
072ebef3-d115-44b8-8891-b263acd442d4.jpg,4,20,1936,713
07316a6f-3037-4dc0-b9a8-d216f56bcce4.jpg,13,42,2992,954
07376e02-f2b9-48cc-a533-fa58a5d53e15.jpg,0,0,1191,794
074723db-e9c1-46a3-9bb1-c0815879886e.jpg,0,0,507,143
